"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Image Path","Parent PID"
"2:23:00.5244590 PM","RAT.exe","2176","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5244659 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","SyncType: SyncTypeOther","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5244709 PM","RAT.exe","2176","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5245125 PM","RAT.exe","2176","QuerySecurityFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Information: Label","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5245385 PM","RAT.exe","2176","QueryNameInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Name: \Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5248493 PM","RAT.exe","2176","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1478595787-3034630928-447031921-1000\\Device\HarddiskVolume1\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","NAME NOT FOUND","Length: 40","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5250637 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5250797 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5251111 PM","RAT.exe","2176","QueryNameInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Name: \Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5251200 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5251658 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Sequential Access, Synchronous IO Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5251813 PM","RAT.exe","2176","QueryAllInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:16:22 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A, AllocationSize: 86,016, EndOfFile: 84,480","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5251926 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5252018 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5252282 PM","RAT.exe","2176","Process Create","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","PID: 6888, Command line: ""C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe"" ","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5255634 PM","RAT.exe","2176","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","NAME NOT FOUND","Length: 16","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5255920 PM","RAT.exe","2176","QuerySecurityFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100","C:\Users\vboxuser\Desktop\RAT.exe","4708"
